Combination,Optimized_b,Optimized_Objective,Optimized_Returns,Minimum_Variance
"('SUN', 'BWP', 'WTC', 'STO', 'CSL', 'TWE')","[0.42895883027, 0.1, 0.13812120168, 0.10945457441, 0.1, 0.1234654048]",6.0142347399568745,0.0005537228383103079,9.206871069257239e-05
"('SUN', 'BWP', 'WTC', 'STO', 'CSL', 'GNC')","[0.40982001043, 0.1, 0.1309453219, 0.1, 0.10644936923, 0.15278531705]",6.36417021846328,0.0006008843143712048,9.441675721179831e-05
"('SUN', 'BWP', 'WTC', 'STO', 'CSL', 'WOW')","[0.43272103512, 0.1, 0.15142908453, 0.11584843015, 0.10000000713, 0.10000144876]",5.896588216029961,0.00053297335400027,9.038673457837435e-05
"('SUN', 'BWP', 'WTC', 'VEA', 'SHL', 'TWE')","[0.31112696419, 0.1, 0.1, 0.28887306758, 0.1, 0.1]",7.2830796802415385,0.0006649982863957824,9.130729246308728e-05
"('SUN', 'BWP', 'WTC', 'VEA', 'SHL', 'GNC')","[0.32034782347, 0.1, 0.1, 0.27965071367, 0.1, 0.10000149282]",7.429447362191961,0.0007024298927238015,9.454672177885366e-05
"('SUN', 'BWP', 'WTC', 'VEA', 'SHL', 'WOW')","[0.30818903093, 0.1, 0.1, 0.29181100899, 0.1, 0.1]",7.216137223154435,0.0006305507987688502,8.738065522723162e-05
"('SUN', 'BWP', 'WTC', 'VEA', 'FPH', 'TWE')","[0.31663800923, 0.1, 0.1, 0.2833620217, 0.1, 0.1]",7.439155530085442,0.0006645086820889957,8.932582191642438e-05
"('SUN', 'BWP', 'WTC', 'VEA', 'FPH', 'GNC')","[0.32591492957, 0.1, 0.1, 0.27408504905, 0.1, 0.10000005137]",7.59777949005249,0.00070191795354531,9.238461769840871e-05
"('SUN', 'BWP', 'WTC', 'VEA', 'FPH', 'WOW')","[0.31362915972, 0.1, 0.1, 0.28637087622, 0.1, 0.1]",7.362264863665519,0.00063009011968996,8.558373426628544e-05
"('SUN', 'BWP', 'WTC', 'VEA', 'CSL', 'TWE')","[0.31548603863, 0.1, 0.1, 0.28451400089, 0.1, 0.1]",7.802313088869415,0.0006983621209456928,8.95070619432023e-05
"('SUN', 'BWP', 'WTC', 'VEA', 'CSL', 'GNC')","[0.32383896298, 0.1, 0.1, 0.27504524284, 0.1, 0.10111582365]",7.942353905617761,0.0007357357206754831,9.263446698781388e-05
"('SUN', 'BWP', 'WTC', 'VEA', 'CSL', 'WOW')","[0.31259512808, 0.1, 0.1, 0.28740491147, 0.1, 0.1]",7.73069106639623,0.0006638954425444765,8.587789071410412e-05
"('SUN', 'BWP', 'WTC', 'WDS', 'SHL', 'TWE')","[0.38607748955, 0.1, 0.12729787994, 0.18662463598, 0.1, 0.10000001452]",6.129264602047158,0.0005495981109466915,8.966787153602851e-05
"('SUN', 'BWP', 'WTC', 'WDS', 'SHL', 'GNC')","[0.37529449841, 0.10000010397, 0.12269475063, 0.17162786582, 0.10000002512, 0.13038275606]",6.401471076361321,0.0005901709743681175,9.219302365474069e-05
"('SUN', 'BWP', 'WTC', 'WDS', 'SHL', 'WOW')","[0.37811947257, 0.1, 0.13612734613, 0.18575305788, 0.1, 0.10000014285]",6.0229331692939905,0.0005198281107201203,8.630813195309864e-05
"('SUN', 'BWP', 'WTC', 'WDS', 'FPH', 'TWE')","[0.3916500608, 0.1, 0.12057842851, 0.18777139499, 0.1, 0.10000013569]",6.298977484341772,0.000546844571709735,8.68148160664332e-05
"('SUN', 'BWP', 'WTC', 'WDS', 'FPH', 'GNC')","[0.38153097315, 0.1, 0.11623335808, 0.17315704939, 0.1, 0.12907863937]",6.581943343464614,0.0005875056954499481,8.926021765795023e-05
"('SUN', 'BWP', 'WTC', 'WDS', 'FPH', 'WOW')","[0.38364860929, 0.1, 0.12949775023, 0.18685362496, 0.1, 0.10000003516]",6.178613862861453,0.0005171375954719322,8.369799552944295e-05
